iter	Logloss
0	0.6504032437
1	0.6096401762
2	0.566728762
3	0.5339315788
4	0.49560377
5	0.4644101174
6	0.439562184
7	0.412633852
8	0.3868300459
9	0.3682396202
10	0.3474000938
11	0.3271137774
12	0.3109241023
13	0.2954339455
14	0.2837395773
15	0.2691186491
16	0.2621319084
17	0.2516579558
18	0.2463432375
19	0.2395259563
20	0.2301603906
21	0.2248202107
22	0.2164227822
23	0.2112965163
24	0.203465595
25	0.1963647008
26	0.1892366269
27	0.183945761
28	0.1785079697
29	0.1735418158
30	0.1697338013
31	0.1644306043
32	0.1606181509
33	0.1556472708
34	0.1517222769
35	0.145858414
36	0.1444247821
37	0.1399515376
38	0.1351907183
39	0.1309455212
40	0.1278124907
41	0.1255827581
42	0.1215436388
43	0.1171102313
44	0.1121244641
45	0.1073944709
46	0.1041340057
47	0.1022238802
48	0.1003735136
49	0.09888669323
50	0.09678342062
51	0.09340724524
52	0.09186871613
53	0.09042191505
54	0.08864209231
55	0.08617742623
56	0.08361918786
57	0.0807586698
58	0.07835965297
59	0.07614602762
60	0.07517200358
61	0.07304313604
62	0.07132063192
63	0.06954854376
64	0.06836078447
65	0.06718794037
66	0.06635724797
67	0.06541024937
68	0.06374115102
69	0.06199364101
70	0.06106739535
71	0.05961568215
72	0.05808359034
73	0.05677416044
74	0.05548523103
75	0.05483487774
76	0.05355372148
77	0.05283921606
78	0.05166902612
79	0.05057727239
80	0.04886932934
81	0.0481465529
82	0.04719436169
83	0.04675689164
84	0.04589038035
85	0.04503509928
86	0.0441763962
87	0.04335900615
88	0.04259441881
89	0.04176328112
90	0.04105567231
91	0.04009596039
92	0.03915340059
93	0.03848561119
94	0.03782964454
95	0.03714016606
96	0.03658694029
97	0.03609374691
98	0.03554331555
99	0.03474996721
100	0.03420649557
101	0.03361764726
102	0.03307967326
103	0.03266392385
104	0.032167326
105	0.03167403446
106	0.03120383445
107	0.03078630391
108	0.03041762815
109	0.02997931663
110	0.02964884393
111	0.02927622024
112	0.02888564502
113	0.02857248397
114	0.0282730057
115	0.02791430319
116	0.02763198053
117	0.02735672979
118	0.02704779891
119	0.02677141042
120	0.02653254481
121	0.0262923451
122	0.0260402157
123	0.02577946467
124	0.02553273124
125	0.02525216341
126	0.02504302474
127	0.02481079277
128	0.02455385643
129	0.02432991126
130	0.02405852956
131	0.02385665389
132	0.02367125013
133	0.02347869557
134	0.0232900872
135	0.02309143894
136	0.02290956062
137	0.02273498037
138	0.02256200945
139	0.02235445906
140	0.02219165073
141	0.02201909353
142	0.02185612566
143	0.02169558932
144	0.02151429653
145	0.02129143652
146	0.02113123501
147	0.02098533511
148	0.02082988795
149	0.02066778611
150	0.02052838662
151	0.02037031861
152	0.02023066843
153	0.02009517305
154	0.01994535502
155	0.01981125509
156	0.01968091726
157	0.01955557571
158	0.0194270155
159	0.01929035257
160	0.01916594365
161	0.01902777833
162	0.01890850418
163	0.01878771887
164	0.0186721665
165	0.01855790615
166	0.01843190368
167	0.01832070947
168	0.01820913132
169	0.01810076657
170	0.01799639183
171	0.01789091615
172	0.01778515823
173	0.01768221399
174	0.01757933813
175	0.01747597666
176	0.01737633172
177	0.01727825579
178	0.01718159984
179	0.01708594841
180	0.01699069142
181	0.01689625488
182	0.01680209181
183	0.01671030241
184	0.01661989969
185	0.01653011056
186	0.01644118043
187	0.01635424179
188	0.01626816918
189	0.01618303622
190	0.0160989586
191	0.01601571546
192	0.01593187276
193	0.01584859455
194	0.01576601407
195	0.01568560215
196	0.01560674169
197	0.01552851761
198	0.01545026898
199	0.01537363319
200	0.01529730593
201	0.01522150986
202	0.01514701458
203	0.01507309517
204	0.01500021535
205	0.01492803062
206	0.01485704149
207	0.0147860769
208	0.01471585386
209	0.01464654768
210	0.01457665072
211	0.01450820793
212	0.01443945836
213	0.01437261876
214	0.01430625863
215	0.01424057519
216	0.01417602862
217	0.01411226216
218	0.01404824239
219	0.01398485899
220	0.01392237053
221	0.01386042553
222	0.01379941754
223	0.01373881452
224	0.01367882157
225	0.01361969026
226	0.01356077545
227	0.01350225771
228	0.01344459548
229	0.01338720935
230	0.0133303325
231	0.01327427345
232	0.01321782522
233	0.01316239027
234	0.01310744005
235	0.01305266163
236	0.01299824259
237	0.01294309427
238	0.01288933
239	0.01283232605
240	0.01277509682
241	0.01272285423
242	0.01266701607
243	0.01261193086
244	0.01255671329
245	0.01250286663
246	0.01244921632
247	0.01239653721
248	0.0123439063
249	0.01229189336
250	0.01224040284
251	0.012189305
252	0.01213886457
253	0.01208877826
254	0.01203898998
255	0.01198980037
256	0.01194090177
257	0.01189252559
258	0.01184468147
259	0.01179712134
260	0.01174999774
261	0.01170330363
262	0.01165700134
263	0.01161369681
264	0.01156807384
265	0.01152228871
266	0.01147656669
267	0.01143165459
268	0.01138748141
269	0.01134362203
270	0.01130043584
271	0.01125717601
272	0.01121364972
273	0.0111716153
274	0.01112908125
275	0.0110876157
276	0.01104836692
277	0.011007472
278	0.01096650958
279	0.01092621684
280	0.01088632731
281	0.01084660169
282	0.0108072074
283	0.01076818126
284	0.0107294435
285	0.01069216518
286	0.01065405853
287	0.01061613419
288	0.01057801001
289	0.01054055551
290	0.01050340253
291	0.01046691221
292	0.01043026325
293	0.01039399119
294	0.01035821438
295	0.01032385756
296	0.01028770033
297	0.0102522119
298	0.01021741506
299	0.0101828803
